site_id,years_sampled
107000120,25
107000121,25
107000122,18
107000123,20
107000124,21
107000125,25
107000126,26
107000127,26
107000128,19
107000129,28
107000130,10
107000131,25
107000132,16
107000133,21
107000134,18
107000135,20
107000136,17
107000137,19
107000138,26
107000139,23
107000140,19
107000141,24
107000142,25
107000143,16
107000144,17
107000145,18
107000146,18
107000147,20
107000148,17
107000149,23
107000150,23
107000151,23
107000152,22
107000153,20
107000154,18
107000155,18
107000156,18
107000157,19
107000158,18
107000159,19
107000160,8
107000161,19
107000162,19
107000163,19
107000164,18
107000165,18
107000166,18
107000167,20
107000168,19
107000169,18
107000170,25
107000171,19
107000172,18
107000173,18
107000174,24
107000175,20
107000176,19
107000177,19
107000178,17
107000179,15
107000180,19
107000181,25
107000182,23
107000183,22
107000184,15
107000185,23
107000186,23
107000187,23
107000188,19
107000189,17
107000190,15
107000191,16
107000192,14
107000193,21
107000194,16
107000195,15
107000196,23
107000197,25
107000198,24
107000199,26
107000200,18
107000201,26
107000202,24
107000203,19
107000204,25
107000205,20
107000206,18
107000207,24
107000208,25
107000209,20
107000210,21
107000211,23
107000212,26
107000213,21
107000214,21
107000215,16
107000216,25
107000217,26
107000218,26
107000219,19
107000220,26
107000221,27
107000222,26
107000223,25
107000224,18
107000225,13
107000226,25
107000227,25
107000228,14
107000229,26
107000230,20
107000231,25
107000232,20
107000233,22
107000234,18
107000235,14
107000236,14
107000237,17
107000238,20
107000239,25
107000240,15
107000241,25
107000242,19
107000243,21
107000244,20
107000245,18
107000246,20
107000247,21
107000248,19
108000001,10
108000002,11
108000003,10
108000004,10
108000005,10
108000006,8
108000007,9
108000008,17
108000009,14
108000010,13
108000011,16
108000012,12
108000013,9
108000016,8
108000017,9
108000020,10
108000021,9
108000022,8
108000025,8
108000026,13
108000027,11
108000028,9
108000029,9
108000031,9
108000033,8
108000034,9
108000036,9
108000037,9
108000038,11
108000039,8
108000040,10
108000041,10
108000042,10
108000043,10
108000044,8
108000054,11
108000059,9
108000060,10
108000061,13
108000062,14
108000063,12
108000064,14
108000065,14
108000066,13
108000067,15
108000068,13
108000069,13
108000070,13
108000071,16
108000072,16
108000073,15
108000074,12
108000075,9
108000077,8
108000090,8
108000092,11
108000093,11
108000094,10
108000096,8
108000100,8
108000103,9
108000107,11
108000108,8
108000111,8
108000112,8
108000113,9
108000114,10
108000117,9
108000118,9
108000135,9
108000136,8
108000137,8
108000139,9
108000142,9
108000144,14
108000145,10
108000146,12
108000150,12
108000151,14
108000152,14
108000156,13
108000159,8
108000162,8
108000164,9
108000165,8
109000001,13
109000002,13
109000003,14
109000004,12
109000005,10
109000006,8
109000007,14
109000008,12
109000009,12
109000010,12
109000011,12
109000012,11
109000013,12
109000014,13
109000015,13
109000016,19
109000022,11
109000024,11
109000026,15
109000027,14
109000029,12
109000030,12
109000031,10
109000032,16
109000033,13
109000034,12
109000035,12
109000036,11
109000037,15
109000038,16
109000039,23
109000040,20
109000041,14
109000042,15
109000043,19
109000044,9
109000045,18
109000046,17
109000047,12
109000048,13
109000049,10
109000050,11
109000051,8
109000053,14
109000054,11
109000055,9
109000056,10
109000057,13
109000058,10
109000059,8
109000060,13
109000061,12
109000062,15
109000063,12
109000064,10
109000065,11
109000066,8
109000067,14
109000068,8
109000069,10
109000070,17
109000071,9
109000072,12
109000073,12
109000074,8
109000075,12
109000076,8
109000077,8
109000078,12
109000079,12
109000080,13
109000081,9
