drivers,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
sN_Est,E10,-0.001093847,4.12E-05,-0.001197693,-0.000987308,-0.001174157,-0.001012529,-0.001161732,-0.001025385,-0.001147412,-0.001041051
sN_mean,E10,-0.000740816,4.47E-05,-0.000857021,-0.000627357,-0.000829064,-0.000653311,-0.000815239,-0.000668523,-0.000798251,-0.0006837
surban_meanPerc_upstr,E10,0.000159708,2.35E-05,0.000100871,0.000222288,0.000113723,0.00020656,0.000120925,0.000199037,0.000129599,0.000189791
scrop_meanPerc_upstr,E10,0.000145182,3.63E-05,5.26E-05,0.000241096,7.48E-05,0.000215827,8.59E-05,0.000204193,9.83E-05,0.000191661
scrop_Est,E10,0.000579175,2.50E-05,0.000514672,0.000641519,0.000530247,0.000627646,0.00053796,0.000620566,0.000546652,0.000611294
surban_Est,E10,0.00044405,3.22E-05,0.000361131,0.000526632,0.000380367,0.000506241,0.000391399,0.000497005,0.000403079,0.00048578
sdam_impact_score_lessthan100km,E10,0.000691895,2.27E-05,0.000633426,0.000750654,0.00064717,0.00073694,0.000654828,0.000729324,0.000662877,0.000720921
Intercept,abundance,0.008636152,0.004067073,-0.00258211,0.019547216,0.00058945,0.016616034,0.001992684,0.015202184,0.00347494,0.013718504
sppt_Est,abundance,0.002900084,0.000205328,0.0023838,0.003414326,0.00249409,0.003303712,0.002561139,0.003238586,0.002635003,0.003161914
stmax_Est,abundance,-0.000368007,0.000259039,-0.00106151,0.00029449,-0.000880122,0.000134829,-0.00079212,6.06E-05,-0.00069757,-3.81E-05
sppt_mm_12moPrior,abundance,-0.002611954,0.000312363,-0.003398788,-0.001802309,-0.003217932,-0.002003965,-0.00311733,-0.00209368,-0.003007478,-0.002206842
stmax_C_12moPrior,abundance,0.001492075,0.000456767,0.000316134,0.002734312,0.000591476,0.002397575,0.000745013,0.002242218,0.000906055,0.002072034
sstrahler_streamOrder,abundance,-0.000570183,0.000160945,-0.000984118,-0.00015804,-0.000886933,-0.000251691,-0.000831884,-0.000301613,-0.00077533,-0.000364953
