"","Response","StartYear","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"112","F_to","2000",0.0054585335244064,0.0113977686447082,-0.0291408403076613,0.0402852734111205,-0.0178342531416554,0.0283928315790103,-0.0129276016148075,0.0239480104256162,-0.00801622419288976,0.0191438739898012
"113","F_to","2001",0.00145172446989563,0.0113903116369346,-0.0336501992067828,0.0374674395430593,-0.0202135392541507,0.0269753637620333,-0.0152651991821808,0.0211265189922058,-0.0108723124631983,0.0153327559209389
"114","F_to","2002",0.00712001740025467,0.00959500021538998,-0.0264876706519804,0.0352483154638797,-0.0124036273255847,0.0273931823537704,-0.00812841265330398,0.0232609223061226,-0.00414074791864293,0.0183580540475805
"115","F_to","2003",0.00268428727622401,0.00838103766264063,-0.0243877193692226,0.027884178774403,-0.0149506795497677,0.0196458934900838,-0.0107053738443699,0.0162210646313715,-0.00711465054099184,0.0125051622392191
"116","F_to","2004",0.0107275807101294,0.00935142070943184,-0.0178341445111174,0.0412128242475643,-0.00641607233723363,0.0307827251507547,-0.00322848341560838,0.0261935689665622,0.000204028754844759,0.0219140620570498
"117","F_to","2005",-0.00151440790980142,0.0147886536724757,-0.0385535471071288,0.0558730654517901,-0.0281964624687498,0.0288790626546243,-0.0235627522612099,0.0229081756212309,-0.018364456010166,0.0166807722532353
"118","F_to","2006",0.0011405756151007,0.0112825722811384,-0.0342599937306203,0.0449944650715789,-0.0189441373478855,0.0264203370784518,-0.0149248610802733,0.0204832141178956,-0.0107842187869909,0.014330985548639
"119","F_to","2007",0.013061141741108,0.0161805127764745,-0.0283203626831978,0.0631384035291951,-0.0174567337610901,0.0484036597270059,-0.0116758780564369,0.0415230618171662,-0.00588752762445876,0.0335377136597671
"120","F_to","2008",0.00266556368902598,0.0144953202569317,-0.0390959702891069,0.0487218491706544,-0.0245993744281965,0.0334874104286027,-0.0194769436357336,0.02680210489018,-0.0144212618773377,0.0205252838070739
"121","F_to","2009",-0.0020849764054722,0.010257461214974,-0.0271767795471296,0.03038737421795,-0.0208424135222774,0.0214929739243074,-0.0175906265898679,0.0160705637137966,-0.0138933020921654,0.0107851974157298
"122","F_to","2010",0.00260714186297891,0.0105128060530282,-0.0284002763746948,0.0351669764494294,-0.0188573493859577,0.0250740256047357,-0.0136746888284612,0.0201560593303247,-0.00939320101420074,0.0149961187929659
"123","F_to","2011",0.00549023251324513,0.0119404414550709,-0.0310295442548772,0.0412000605580638,-0.0200018316906358,0.0301364823846617,-0.0140507660524451,0.0246465228309953,-0.00880277388319467,0.0195026675249288
"124","F_to","2012",0.00377671333093656,0.0151313992714259,-0.0412113964904282,0.0590526905593815,-0.0266401928583827,0.0354383251054342,-0.0197800202341331,0.027241171716569,-0.0135304679739443,0.0205481132238726
"125","F_to","2013",-0.0095687586634057,0.0255810151952023,-0.0863665611666231,0.0636622800718926,-0.0651312904026621,0.0410072490330228,-0.05314823990498,0.0301765703841873,-0.0414597836452829,0.0202146681592042
"126","F_to","2014",-0.0162513399462711,0.034161648336587,-0.11197280410521,0.0961014197871024,-0.0826176565258279,0.0550610083076375,-0.0693707789160004,0.0402151540422931,-0.0561520878183504,0.025671423527002
"127","FEve","1990",0.000437523262760685,0.0094549083385866,-0.0351068749763038,0.0284795946202282,-0.0236317751929043,0.0185719416686814,-0.0162908624521364,0.0146788572316462,-0.00987505854543998,0.0105786545730688
"128","FEve","1991",-1.80184040300031e-06,0.00743175893079613,-0.0225152169511404,0.0274414657801002,-0.0145402810259219,0.0160352846867633,-0.0116169404909572,0.0111388350595282,-0.00843460953527673,0.00751536060171308
"129","FEve","1992",-4.16682700980242e-05,0.00519055943542048,-0.0170841146904893,0.0172570685999927,-0.0111606215365714,0.0107910355728968,-0.00824707202139602,0.00818621671991875,-0.0059468008197415,0.00577056537081929
"130","FEve","1993",0.000231948992845594,0.00406353378558844,-0.0129426458326595,0.0119174813921062,-0.0088932786408533,0.00770048781589581,-0.00680937618720326,0.00620544358182952,-0.00478751480253375,0.00476132029841015
"131","FEve","1994",0.00238682673411034,0.00337502879692227,-0.00886908067296196,0.011787494294643,-0.00510960199325767,0.00849832325670055,-0.00340189063852861,0.00736076270529642,-0.00181554178232177,0.00617743455596413
"132","FEve","1995",0.00176522493103089,0.00304186045736983,-0.00777957914135504,0.0104864471932416,-0.00480292545622721,0.00754016071205876,-0.00352893263593089,0.00635792968676455,-0.00202329033145555,0.00522064654795897
"133","FEve","1996",-0.000912638560218616,0.00320359272318839,-0.010620062703882,0.00908426842827982,-0.00747196173053038,0.00554372213995385,-0.00615304576421665,0.00431567951897142,-0.00470023956983802,0.00281300630434942
"134","FEve","1997",0.000368692793794674,0.00240067853067764,-0.00693578474693093,0.00726819812643441,-0.00463961214381791,0.00515483465516659,-0.00351570719161838,0.00419253273343455,-0.00253600317149528,0.00330768026093186
"135","FEve","1998",0.000973071597036778,0.00281428732348673,-0.00753386084190729,0.00945457009780208,-0.00485499713020395,0.00641828109980794,-0.0036380045145372,0.00538883854706864,-0.00233012262123235,0.00426196721941484
"136","FEve","1999",0.00142141186743209,0.0031995470641843,-0.00898099514808498,0.0104589048975856,-0.00492586661966273,0.00781952986258504,-0.00370902948131058,0.00651880775644669,-0.0023663586308823,0.00523238479995556
"137","FEve","2000",0.000641872942700595,0.00312988707344792,-0.00781091781664466,0.00978720029946564,-0.00538472093449504,0.00715015060613634,-0.00421787308776706,0.00582350959566198,-0.00308086610744627,0.00450234191149488
"138","FEve","2001",-0.000354357066508033,0.00300551197042402,-0.00905348232419714,0.00914217057247528,-0.00606434118951012,0.00589119901846219,-0.00488984871330806,0.00468489925443011,-0.00381736085461146,0.00338065867883793
"139","FEve","2002",-0.000603394392136912,0.00287161437445253,-0.0081778353018181,0.00896847468651363,-0.00588542608706812,0.00582921953750824,-0.0048812466696665,0.00442678931122627,-0.00384302086229505,0.00297365764412115
"140","FEve","2003",-0.00171641087397083,0.00323515866105685,-0.0112931250986659,0.00748378999542582,-0.00827370328554855,0.00481646914262717,-0.00702151773686862,0.00347494646346488,-0.00554043844078222,0.00220061638400786
"141","FEve","2004",-0.0012346426279931,0.00274285740820877,-0.009223352694016,0.0067787271114765,-0.00692592918621901,0.00448531621921879,-0.00573428153709804,0.00314637029673673,-0.00457891524877326,0.0020452883236017
