Model,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90,percEstimate,percEst.Error,percQ0.5,percQ99.5,percQ2.5,percQ97.5,percQ5,percQ95,percQ10,percQ90
MetaUnweighted,turnover,-0.000994073,0.001537331,-0.00503401,0.003124955,-0.004018773,0.002046626,-0.003500549,0.001518976,-0.002917686,0.000963362,-0.18309299,0.283152777,-0.927187384,0.575568752,-0.74019631,0.376957099,-0.644747402,0.279772067,-0.537392983,0.177436496
MetaUnweighted,shannonsH,0.000364389,0.00525993,-0.015580769,0.01379092,-0.010980535,0.01000705,-0.008929933,0.008245251,-0.006388803,0.006554802,0.01841993,0.265890411,-0.787610687,0.697133497,-0.555068027,0.505858185,-0.451409726,0.416798927,-0.322955146,0.331346425
MetaUnweighted,spp_richness_rarefied,0.081160496,0.073087715,-0.11617975,0.302052218,-0.057552233,0.23493322,-0.032355643,0.203775238,-0.007521811,0.172901049,0.421721937,0.379774573,-0.603687158,1.569507984,-0.299049912,1.220747747,-0.168124705,1.058846265,-0.039084442,0.898419414
MetaUnweighted,func_rich,0.0114919,0.005952434,-0.004622922,0.028912789,-0.000472923,0.023390263,0.001838168,0.020839178,0.004113258,0.018696104,1.14919,0.5952434,-0.4622922,2.8912789,-0.0472923,2.3390263,0.1838168,2.0839178,0.4113258,1.8696104
MetaUnweighted,FRed,-2.12E-05,0.000606418,-0.001681779,0.001746396,-0.001229886,0.00121934,-0.000991455,0.000976853,-0.00076252,0.000722667,-0.007281574,0.208286674,-0.57764142,0.599835452,-0.42242952,0.418807281,-0.340535513,0.335520157,-0.261903101,0.248214773
MetaUnweighted,func_even,-0.002046587,0.00171623,-0.006783258,0.002562489,-0.0054647,0.001323699,-0.00484718,0.000783104,-0.004188672,0.000104037,-0.395161996,0.33137554,-1.309734581,0.494774113,-1.055142907,0.255584316,-0.93591004,0.15120439,-0.80876307,0.020087819
MetaUnweighted,func_turnover,-0.017319696,0.009770549,-0.043878745,0.010775194,-0.036266628,0.002679013,-0.033068233,-0.000952184,-0.029485145,-0.005188832,-1.717057223,0.981843665,-4.293000004,1.083345547,-3.561687234,0.268260476,-3.252745622,-0.095173082,-2.905469907,-0.517539327
MetaUnweighted,func_diverg,0.007850567,0.00367184,-0.002357827,0.017795997,0.000453975,0.015196547,0.001849575,0.013905803,0.003307783,0.012461407,1.149926175,0.537839487,-0.345367027,2.606701244,0.066496819,2.225942045,0.270919885,2.036877955,0.484513571,1.825307406
MetaUnweighted,RaoQ,0.018171794,0.10098258,-0.278148316,0.278771844,-0.195149061,0.209243171,-0.15213329,0.175220516,-0.108829004,0.139624902,0.048188413,0.267788104,-0.737600585,0.739254072,-0.517501107,0.554876217,-0.403430822,0.464654099,-0.288595445,0.370260769
MetaUnweighted,alien_SppRich,0.056528763,0.017274916,0.009612027,0.104362803,0.022476118,0.090011278,0.028372819,0.08442091,0.034786049,0.07831254,3.980792816,1.216510991,0.676885288,7.349297497,1.58278307,6.33865363,1.998032648,5.944976224,2.449656539,5.514820775
MetaUnweighted,alien_abund,0.040554201,0.016929435,-0.005057707,0.084314023,0.007310781,0.073469987,0.012587499,0.068606623,0.019060549,0.06166475,4.0554201,1.6929435,-0.5057707,8.4314023,0.7310781,7.3469987,1.2587499,6.8606623,1.9060549,6.166475
MetaUnweighted,native_SppRich,0.21974966,0.12966483,-0.120613619,0.581821429,-0.032475545,0.478374036,0.009457292,0.431803604,0.055917118,0.383287861,0.798269817,0.471024711,-0.438144985,2.113543592,-0.117971729,1.737757202,0.034354869,1.568583924,0.203126356,1.392344046
MetaUnweighted,native_abund,0.006147736,0.004375409,-0.005776495,0.018005839,-0.002454872,0.014771135,-0.000943124,0.013299574,0.000672939,0.011617676,0.6147736,0.4375409,-0.5776495,1.8005839,-0.2454872,1.4771135,-0.0943124,1.3299574,0.0672939,1.1617676
MetaUnweighted,EPT_SppRich,0.042197396,0.048259902,-0.087239078,0.171541752,-0.051865463,0.138363642,-0.036094967,0.122032324,-0.017850624,0.103608145,0.454735442,0.520067349,-0.940122009,1.848600194,-0.558922267,1.491060062,-0.38897331,1.31506747,-0.192365221,1.116521399
MetaUnweighted,EPT_abund,0.010200776,0.005403634,-0.004673988,0.024633576,-0.000680539,0.020639296,0.001125051,0.019089384,0.003381072,0.016870948,1.0200776,0.5403634,-0.4673988,2.4633576,-0.0680539,2.0639296,0.1125051,1.9089384,0.3381072,1.6870948
MetaUnweighted,insect_SppRich,0.140524263,0.090195201,-0.094836544,0.394978963,-0.031858518,0.318717709,-0.003840245,0.28855987,0.0269701,0.252566426,0.732028161,0.469850727,-0.494028714,2.057550189,-0.165959471,1.660285088,-0.020004855,1.503184905,0.140494405,1.315685508
MetaUnweighted,insect_abund,0.011987318,0.004864944,-0.000513547,0.025721398,0.002700361,0.021706983,0.004144918,0.020005442,0.005875106,0.018152984,1.1987318,0.4864944,-0.0513547,2.5721398,0.2700361,2.1706983,0.4144918,2.0005442,0.5875106,1.8152984
