"","site","tmax_Est"
"175",100000179,0.029326487789624
"176",100000180,0.0355664373751988
"177",100000181,0.0214202038509131
"178",100000182,0.0257981119060763
"179",100000183,0.0250235927429589
"180",100000184,0.0379373155020494
"181",100000185,0.0368820836787199
"182",100000186,0.0244491134365602
"183",100000187,0.0339079925824682
"184",100000188,0.00536939304638389
"185",100000189,0.0324517674049409
"186",100000190,0.0317157364137478
"187",100000191,0.0370896034639693
"188",100000192,0.0306625102589566
"189",100000193,0.03345099988175
"190",100000194,0.029082255577798
"191",100000195,0.0362969864879882
"192",100000196,0.036895676435717
"193",100000197,0.0360205562056631
"194",100000198,0.0327370434483114
"195",100000199,0.0338088363160611
"196",100000200,0.033748934683549
"197",100000201,0.0387569273458777
"198",100000202,0.0388930853340208
"199",100000203,0.0396078534144104
"200",100000204,0.03436300612856
