"","site","ppt_Est"
"136",100000140,-5.50239629141877
"137",100000141,-0.86941733672177
"138",100000142,-0.654692622273053
"139",100000143,-0.0232809427641245
"140",100000144,0.821946311116749
"141",100000145,-1.85316647547255
"142",100000146,0.930471973861668
"143",100000147,1.80834135762497
"144",100000148,1.26809070829004
"145",100000149,1.98202576901911
"146",100000150,2.77318168335126
"147",100000151,-2.124386247844
"148",100000152,1.09014561109922
"149",100000153,-2.8435788731983
"150",100000154,-4.22915294141103
"151",100000155,-4.39363029093541
"152",100000156,-6.8673114161427
"153",100000157,0.556676001227357
"154",100000158,-4.99092238832507
"155",100000159,1.14534996293937
"156",100000160,-4.2781089973435
"157",100000161,-1.96061814968397
"158",100000162,-4.3032671764689
"159",100000163,-6.31333166704891
"160",100000164,-7.43441588229757
"161",100000165,-7.19701122701134
"162",100000166,-6.27731914923052
"163",100000167,-6.38115723110513
"164",100000168,-12.1129107912784
"165",100000169,-6.50349827221434
"166",100000170,-6.59000314864825
"167",100000171,-7.54693106656871
"168",100000172,-7.1829386027431
"169",100000173,-7.0399972158536
"170",100000174,-11.5405102815367
"171",100000175,-6.95704909848167
"172",100000176,-6.24679014024894
"173",100000177,-5.8576564199653
"174",100000178,-2.8082381656285
"175",100000179,-2.25164923079332
"176",100000180,-5.68058873577144
"177",100000181,-1.28440349934304
"178",100000182,-3.26621932372854
"179",100000183,-6.44166374719429
"180",100000184,-6.72006957095853
"181",100000185,-5.95984963028163
"182",100000186,-2.49205492507088
"183",100000187,-2.51731193507215
"184",100000188,-2.92324773676486
"185",100000189,-1.44237063286448
"186",100000190,-1.81780657896547
"187",100000191,-3.7207217970842
"188",100000192,-0.407419260014793
"189",100000193,-7.96244378842727
"190",100000194,-5.97373808901459
"191",100000195,-7.44910330562154
"192",100000196,-7.18956669426336
"193",100000197,-7.28952172927447
"194",100000198,-6.27947675175211
"195",100000199,-4.96773927297796
"196",100000200,-5.39417906448282
"197",100000201,-3.31913543650522
"198",100000202,-3.29273471967391
"199",100000203,-3.52730235853547
"200",100000204,-6.350629126534
"201",100000205,-5.86879855242212
"202",100000206,-1.77587721536358
"203",100000207,-5.77718777090007
"204",100000208,-2.50546733126862
"205",100000209,-3.84053880131475
"206",100000210,-1.35341016932228
"207",100000211,-2.31471983874937
"208",100000212,-5.81150294952465
"209",100000213,-6.60395634641143
"210",100000214,-5.59250818300614
"211",100000215,-3.18970208399651
"212",100000216,-1.25836928134495
"213",100000217,-2.49312186671289
"214",100000218,-1.87667660505284
"215",100000219,-2.99029505960691
"216",100000220,-0.627999692167137
"217",100000221,-3.87772480613589
"218",100000222,-3.32805552262027
"219",100000223,0.44445526077235
"220",100000224,0.638224177243411
"221",100000225,-2.84738133971304
"222",100000226,-1.73372797012381
"223",100000227,-2.12007392614613
"224",100000228,-2.30327823728501
"225",100000229,-1.798149878012
"226",100000230,-0.700139953512436
"227",100000231,-1.40980523963149
"228",100000232,-1.78508395074519
"229",100000233,0.650168067923777
"230",100000234,-1.83524744789041
"231",100000235,-2.205239150374
"232",100000236,1.83864873307046
"233",100000237,0.501038310343308
"234",100000238,-0.870694402816918
"235",100000239,0.551392215843747
"236",100000240,-1.69408107507643
"237",100000241,-1.98077844325929
"238",100000242,-1.49906939647979
"239",100000243,-1.68298577080751
"240",100000244,-0.525375100826172
"241",100000245,-2.83604165015364
"242",100000246,0.797047684404101
"243",100000247,-1.86573079107586
"244",100000248,0.439435779532394
"245",100000249,3.05373722492338
"246",100000250,4.11723815710703
"247",100000251,3.55278417819441
"248",100000252,-1.79153851110281
"249",100000253,1.77154857646439
"250",100000254,-1.03268260634003
"251",100000255,-1.9843964519088
"252",100000256,2.86644167043028
"253",100000257,2.28334501051232
"254",100000258,3.91703433273773
"255",100000259,2.38957099125314
"256",100000260,0.09289321511402
"257",100000261,0.220233754102075
"258",100000262,-4.92313977523294
"259",100000263,-0.862542857485408
"260",100000264,-1.65005683899438
