,drivers,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
223,saccumulation_atPoint,insect_SppRich,-0.001809677,0.002464052,-0.008850667,0.004170053,-0.007131736,0.00257116,-0.006243319,0.001750665,-0.005178042,0.000904449
224,selevation_atPoint,insect_SppRich,-0.002271955,0.007411602,-0.025671379,0.019093321,-0.019322605,0.011763134,-0.016013012,0.008959706,-0.012145345,0.005568115
225,sslope_mean,insect_SppRich,-0.01126522,0.006246561,-0.027377807,0.002166821,-0.023685603,0.000139454,-0.021794383,-0.000835845,-0.019373542,-0.002856308
226,surban_meanPerc_upstr,insect_SppRich,-0.008367483,0.003986669,-0.01843018,0.000884332,-0.016098931,-0.000409767,-0.014849009,-0.00156227,-0.013464381,-0.003133659
227,scrop_meanPerc_upstr,insect_SppRich,-0.041616635,0.008791679,-0.064435299,-0.018911415,-0.058933351,-0.024769354,-0.056171825,-0.027366978,-0.052907361,-0.030262293
228,sdam_impact_score_lessthan100km,insect_SppRich,-0.023391114,0.004051056,-0.034035276,-0.012587744,-0.031251584,-0.015347976,-0.03002957,-0.016727901,-0.0285479,-0.018258862
229,Intercept,insect_abund,0.006711457,0.004501667,-0.005137542,0.018858208,-0.002079415,0.015719113,-0.000689224,0.014192596,0.001066663,0.012439513
230,sppt_Est,insect_abund,-0.000501514,0.000853249,-0.003469304,0.001396419,-0.002627605,0.000789711,-0.002176998,0.000518927,-0.001717387,0.000282585
231,stmax_Est,insect_abund,-0.007253632,0.001541782,-0.011136598,-0.003102678,-0.010269736,-0.004236852,-0.009750343,-0.004737243,-0.009221217,-0.005269471
232,sppt_mm_12moPrior,insect_abund,-0.001214844,0.001282996,-0.005136935,0.000986173,-0.004217662,0.000476984,-0.003671119,0.00026956,-0.003069794,7.43E-05
233,stmax_C_12moPrior,insect_abund,0.001123008,0.001431664,-0.001375919,0.006073253,-0.000670612,0.004620559,-0.000404323,0.003991333,-0.000173955,0.003216007
234,sstrahler_streamOrder,insect_abund,0.00101638,0.000868751,-0.000588719,0.003481821,-0.000233208,0.002890541,-0.000104082,0.002568868,-3.96E-06,0.002214763
235,saccumulation_atPoint,insect_abund,-0.000172185,0.000702227,-0.002662275,0.001776043,-0.001909282,0.00117035,-0.001506997,0.000874236,-0.001059928,0.000534425
236,selevation_atPoint,insect_abund,8.20E-05,0.000689314,-0.001955539,0.00261274,-0.001301169,0.001727407,-0.000986194,0.001337996,-0.000667536,0.000905601
237,sslope_mean,insect_abund,0.000185668,0.000611212,-0.001503398,0.002265119,-0.000923582,0.001662128,-0.000686213,0.001349842,-0.000434608,0.000989652
238,surban_meanPerc_upstr,insect_abund,0.000236853,0.000527933,-0.001086794,0.001968911,-0.000680949,0.001499442,-0.000481309,0.00125585,-0.000300819,0.000964677
239,scrop_meanPerc_upstr,insect_abund,0.000384552,0.000737166,-0.001337017,0.002841323,-0.000809302,0.00222633,-0.000565695,0.001816912,-0.000336501,0.001421805
240,sdam_impact_score_lessthan100km,insect_abund,-0.00082582,0.000786172,-0.003124742,0.000638032,-0.002538564,0.0002822,-0.002264695,0.000144882,-0.001931779,3.33E-05
