site_id,year
109000191,18
109000192,15
109000200,16
109000214,15
109000216,18
109000220,16
109000224,15
109000225,15
109000228,15
109000230,16
109000233,15
109000237,16
109000250,15
109000258,17
109000260,16
109000261,15
109000262,15
109000263,15
109000287,17
109000342,18
109000347,15
109000349,19
109000365,15
109000366,16
109000380,18
109000382,15
109000384,18
109000389,17
109000390,16
109000392,16
109000393,16
109000394,16
109000396,16
110000001,16
110000002,16
110000003,16
110000004,16
110000005,16
110000006,16
110000007,16
110000008,16
110000009,16
110000010,16
110000011,16
110000012,16
110000013,16
110000014,16
110000015,16
110000016,16
111000004,15
111000005,16
111000006,16
111000007,16
111000009,16
111000010,16
111000011,16
111000013,16
111000014,16
111000015,16
115000001,19
115000002,19
117000003,15
117000017,16
117000018,15
117000019,17
117000029,16
117000039,15
119000001,15
119000002,15
119000003,15
119000004,15
119000005,15
119000006,15
119000007,15
119000008,15
119000009,15
119000010,15
120000001,15
120000002,16
120000003,15
