Lat,Response,StartYear,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
south,abundance,1973,-1.098903605,2.904927294,-7.962400892,7.33862575,-5.160915191,4.660258467,-4.435527072,3.664582601,-4.409943165,2.556513323
south,abundance,1974,0.260288209,2.426505993,-6.288226721,6.868241235,-4.817058212,5.067066329,-3.916374123,4.164978507,-2.823711835,3.255179891
south,abundance,1975,0.060470773,2.688548268,-7.81453137,8.439838231,-5.553093427,5.653344621,-4.490649416,4.487343698,-3.335571468,3.222607973
south,abundance,1976,0.118909944,2.573600117,-7.352217151,7.639534126,-5.213776762,5.452318517,-4.100622056,4.347108819,-2.981581129,3.288586965
south,abundance,1977,0.008390451,1.196541877,-3.942649544,3.722438941,-2.683701755,2.523593975,-2.156553941,1.930575936,-1.43850545,1.342957224
south,abundance,1978,0.11709296,1.111447486,-3.241195709,3.995699139,-2.183263909,2.583758877,-1.648295166,2.083174247,-1.068620455,1.453044349
south,abundance,1979,0.066557257,1.161894506,-3.811081063,3.67697107,-2.315049754,2.609319877,-1.839193217,2.05680185,-1.254253535,1.435194464
south,abundance,1980,-0.10308787,0.262604858,-1.190738237,0.705591938,-0.624791301,0.426341899,-0.490528946,0.267410327,-0.473402369,0.125986601
south,abundance,1981,-0.036539871,0.308080614,-1.295340026,0.803974616,-0.804394229,0.543860572,-0.563250279,0.432230556,-0.368692007,0.311400218
south,abundance,1982,0.022386458,0.141163827,-0.400795257,0.480923149,-0.288684174,0.348683515,-0.20576619,0.273833801,-0.136541847,0.192771368
south,abundance,1983,0.039307533,0.109353555,-0.378304217,0.331578762,-0.2328502,0.243461431,-0.146135292,0.20940108,-0.075596412,0.157195527
south,abundance,1984,0.06431325,0.228067145,-0.798625798,0.739411147,-0.517308616,0.504867581,-0.333030148,0.417837504,-0.170897691,0.314048336
south,abundance,1985,0.01342653,0.178097187,-0.48713395,0.483382146,-0.304707014,0.363543864,-0.28802567,0.293732324,-0.264437536,0.215518291
south,abundance,1986,0.018409465,0.070269159,-0.20042196,0.253662745,-0.129012713,0.16586487,-0.096547505,0.127781704,-0.062592365,0.096122436
south,abundance,1987,0.021830559,0.071126843,-0.20273142,0.249986704,-0.136336126,0.190690905,-0.09010775,0.146544581,-0.051626629,0.100602896
south,abundance,1988,-0.027042782,0.08237272,-0.299623709,0.238199297,-0.190871242,0.143741143,-0.154775797,0.10451052,-0.119556522,0.068106666
south,abundance,1989,-0.015354913,0.042523536,-0.124689144,0.097503626,-0.105655338,0.089330054,-0.089764183,0.068937651,-0.061468148,0.034519916
south,abundance,1990,-0.006034516,0.031727743,-0.101426174,0.089040306,-0.070155208,0.060010513,-0.057728358,0.046713309,-0.043860262,0.03244904
south,abundance,1991,-0.00322888,0.031293174,-0.083591134,0.086228547,-0.077572265,0.055652967,-0.069759308,0.042669886,-0.043570195,0.031478432
south,abundance,1992,0.004310408,0.017763741,-0.052604387,0.05939779,-0.032076858,0.0406806,-0.023365917,0.03224176,-0.01630972,0.024550277
south,abundance,1993,-0.002449579,0.015554262,-0.045511061,0.049318087,-0.0327609,0.031026528,-0.026106597,0.024012642,-0.02042896,0.016104955
south,abundance,1994,0.00599077,0.016852726,-0.041242839,0.053529927,-0.02863491,0.041506614,-0.021160735,0.034719613,-0.013886293,0.02702071
south,abundance,1995,0.00197874,0.014393028,-0.03944206,0.044280541,-0.028240147,0.031166084,-0.021856977,0.02501877,-0.015202975,0.019545471
south,abundance,1996,0.006834792,0.015186296,-0.040159187,0.051825519,-0.022600411,0.038553294,-0.016540741,0.032090437,-0.010853554,0.026010204
south,abundance,1997,0.008295096,0.014497473,-0.03134142,0.052041105,-0.020701757,0.038982355,-0.014897253,0.032608761,-0.009252443,0.026314287
south,abundance,1998,0.019819712,0.028252768,-0.059253847,0.101098951,-0.036680322,0.075317259,-0.02687796,0.064842441,-0.014981148,0.054541546
south,abundance,1999,0.009875124,0.020144522,-0.049718085,0.066072783,-0.029514019,0.051456187,-0.022222219,0.043317878,-0.014770419,0.03466544
south,abundance,2000,0.004200195,0.018848139,-0.055060086,0.060078099,-0.035333801,0.040974576,-0.025830159,0.033583438,-0.017927917,0.027097493
south,abundance,2001,0.025791907,0.030512808,-0.067344013,0.113979188,-0.036412436,0.087163743,-0.023520191,0.074526965,-0.010897526,0.061953604
south,abundance,2002,0.009141119,0.017156232,-0.04829866,0.056305966,-0.026266819,0.043155503,-0.019190899,0.036667037,-0.011947089,0.029744783
south,abundance,2003,-0.00040124,0.018589491,-0.05440387,0.057786899,-0.036585,0.038488517,-0.030089255,0.029530378,-0.022846113,0.021286576
south,abundance,2004,0.00432442,0.013786287,-0.03410889,0.04544381,-0.023602993,0.032252803,-0.017576109,0.026449217,-0.012515597,0.021044576
south,abundance,2005,0.010440048,0.012851863,-0.0270472,0.048835447,-0.015512329,0.036150566,-0.010244419,0.03141358,-0.004948105,0.025974202
south,abundance,2006,0.002170166,0.010860179,-0.026224234,0.032708274,-0.019990728,0.023436336,-0.016614701,0.019191751,-0.011530238,0.015102488
south,abundance,2007,0.028090848,0.019418266,-0.027341178,0.078756867,-0.012237782,0.062749097,-0.006001262,0.055407572,0.002453051,0.048222286
south,abundance,2008,0.018511573,0.013880036,-0.019193301,0.056894112,-0.008601405,0.046045525,-0.004293275,0.04106281,0.001160228,0.036105833
south,abundance,2009,0.014503294,0.012439442,-0.018046787,0.045826761,-0.009325205,0.037884793,-0.00524754,0.035490097,-0.000901825,0.032005213
south,abundance,2010,0.008958236,0.010688408,-0.020262779,0.037564177,-0.011851983,0.029836899,-0.008289848,0.026133104,-0.004143075,0.022175677
south,abundance,2011,0.000228783,0.018691476,-0.054624302,0.049533698,-0.038249783,0.036344722,-0.030755715,0.030519336,-0.022894762,0.023027904
south,SppRich,1971,0.327427309,2.590721239,-7.10543416,7.983758818,-5.227498654,5.818353494,-3.976816973,4.646628608,-2.782740893,3.531412258
south,SppRich,1972,0.471902806,2.455582545,-6.381304824,7.190656354,-4.552698149,5.636161184,-3.696939775,4.626599927,-2.609843202,3.471812205
south,SppRich,1973,0.609499339,2.603390694,-6.401886916,8.018188645,-4.82212362,6.327185199,-3.894698287,5.071241115,-2.69205071,3.838166892
south,SppRich,1974,0.978081768,2.696126771,-7.237707112,8.603203811,-4.978877015,6.402646073,-3.651254967,5.430170171,-2.389902694,4.125927445
south,SppRich,1975,0.900430884,2.815139071,-8.762134567,8.778699092,-5.376199809,6.463192585,-3.91956221,5.305925247,-2.573196687,4.114849204
south,SppRich,1976,0.69214683,2.663052818,-7.031883762,8.44036259,-4.841780934,6.159886885,-3.967301886,5.09826818,-2.689514724,3.870118064
south,SppRich,1977,0.012826006,1.70885274,-4.234797818,5.199099611,-2.837086491,3.44017128,-2.447864789,2.764895524,-2.379688419,1.983970635
south,SppRich,1978,0.524472409,1.589513305,-4.128885035,6.070452529,-2.724414113,3.952709602,-2.040312759,3.162276425,-1.280680318,2.451196493
south,SppRich,1979,0.414898536,1.356719232,-3.797919017,4.546305107,-2.421882463,3.29878829,-1.920823598,2.684310312,-1.226169223,1.992120022
south,SppRich,1980,0.894455555,1.401804001,-3.405944495,4.951534959,-1.920204227,4.77796199,-1.230376939,3.446594873,-0.592154851,2.514285423
south,SppRich,1981,0.652342909,1.337615818,-3.045942317,4.42601344,-2.667959111,3.32853696,-1.801760857,2.789457437,-1.024391629,2.187279163
south,SppRich,1982,0.357506592,0.799526843,-2.011480556,3.478233185,-1.307515543,2.083493337,-0.89471821,1.698531274,-0.522282256,1.260595986
south,SppRich,1983,0.28627438,0.449673486,-1.239582741,1.770840435,-0.697864396,1.291724943,-0.421977846,1.053779546,-0.20228037,0.80166052
south,SppRich,1984,0.390242373,0.561371992,-1.248351287,2.511724174,-0.71259424,1.696068403,-0.465685434,1.363883841,-0.213641006,1.003223043
south,SppRich,1985,0.413599609,0.709159252,-1.826542858,2.038699695,-1.608190305,1.665244293,-0.935070606,1.638316536,-0.307766014,1.345317954
south,SppRich,1986,0.232642165,0.673991749,-1.951018398,2.274933224,-1.222295413,1.631241754,-0.897106067,1.311167767,-0.551807026,0.994921057
south,SppRich,1987,0.830197775,0.770789645,-1.236168136,3.907925745,-0.654188349,2.526186703,-0.315664213,2.117037007,-0.006452432,1.700123388
south,SppRich,1988,0.697222105,0.657071564,-1.030959758,2.498879809,-0.578484855,2.192295946,-0.350470081,1.952180861,-0.045778113,1.585038445
south,SppRich,1989,0.41352244,0.398928514,-0.750625083,1.692196787,-0.368414769,1.240000882,-0.190968077,1.0797969,-0.034913722,0.892925048
south,SppRich,1990,0.229763151,0.372092693,-0.814243964,1.371885831,-0.519497674,1.01707514,-0.36054744,0.861273693,-0.202468361,0.680484414
south,SppRich,1991,0.156238917,0.337657639,-0.868125015,1.157153989,-0.545183305,0.85472157,-0.381857339,0.715878883,-0.246974652,0.564959378
south,SppRich,1992,0.152985502,0.311626396,-0.76026825,1.138940573,-0.46940659,0.80383982,-0.338641039,0.655754484,-0.212536786,0.528282493
south,SppRich,1993,0.134055196,0.21650329,-0.530739678,0.762234427,-0.293530527,0.553719273,-0.192742979,0.473257011,-0.109917498,0.383230699
south,SppRich,1994,0.239402923,0.139543251,-0.219992283,0.695872634,-0.045432536,0.521647999,0.010970411,0.461010162,0.076666337,0.400327024
south,SppRich,1995,0.221963551,0.20316084,-0.470254866,0.821315354,-0.211568659,0.612662985,-0.111810233,0.539826672,-0.013301078,0.452712639
south,SppRich,1996,0.422724177,0.203651267,-0.239096913,1.086562181,0.018693025,0.886526505,0.121200053,0.777672698,0.203852605,0.671390667
south,SppRich,1997,0.40378181,0.181498658,-0.098313307,1.072344108,0.064583419,0.803133224,0.123441634,0.707020422,0.196236123,0.618039638
south,SppRich,1998,0.46058586,0.204336213,-0.092787805,1.126017457,0.080284906,0.92337808,0.151158924,0.813181162,0.226780471,0.706447461
south,SppRich,1999,0.466208124,0.197719317,-0.075574234,1.092505522,0.072751181,0.895891878,0.15757245,0.807740571,0.237292178,0.718976883
south,SppRich,2000,0.452807028,0.170534125,-0.07564015,0.990963366,0.10045499,0.811750821,0.197566736,0.736703379,0.263213793,0.66079365
south,SppRich,2001,0.34485872,0.277141644,-0.433966369,1.111616552,-0.227060527,0.907536244,-0.101426042,0.808121093,0.00924748,0.689380625
south,SppRich,2002,0.227664598,0.34138751,-0.865273665,1.2167873,-0.492618465,0.895588816,-0.327245988,0.770719473,-0.174445773,0.625718703
south,SppRich,2003,0.091091341,0.391712203,-1.439573913,0.972968443,-1.328743218,0.729729508,-0.549358799,0.593433921,-0.297217752,0.487496079
south,SppRich,2004,0.16797188,0.346826047,-0.83683569,1.137305656,-0.558027003,0.810412746,-0.414083887,0.703928607,-0.266403724,0.579589371
south,SppRich,2005,0.197138581,0.338789444,-0.82068316,1.120786801,-0.507414251,0.852857618,-0.358679795,0.736750056,-0.214302008,0.603527449
south,SppRich,2006,0.106792136,0.242832357,-0.641531306,0.717792444,-0.400617131,0.550790896,-0.308093249,0.487921693,-0.196542494,0.407222729
south,SppRich,2007,0.169792093,0.208586327,-0.402245761,0.790196651,-0.235227611,0.584928601,-0.158460953,0.511219956,-0.07889705,0.429600787
south,SppRich,2008,0.241917537,0.244464361,-0.400251807,0.913576431,-0.231554096,0.722344686,-0.139382804,0.664749967,-0.060801923,0.575969766
south,SppRich,2009,0.073231704,0.214580711,-0.4741802,0.667205508,-0.339513667,0.50213506,-0.273588985,0.41929611,-0.190951477,0.331979551
south,SppRich,2010,0.106263222,0.241253427,-0.526689549,0.786298399,-0.37071421,0.595905489,-0.279334931,0.505304478,-0.190764066,0.407896881
south,SppRich,2011,0.126933356,0.340520587,-0.803472382,1.137260006,-0.550173694,0.795726068,-0.42203427,0.66855434,-0.291874695,0.546728151
